@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
156732,252,2215,0.189.0,132101,309205,9337148,10927041,16054008,91721,10440,0,0,0,0,25,Homer
59660,248,1091,0.189.0,65794,1065934,11176538,12041410,15659507,34525,2011,0,0,0,0,427,Homer
102220,254,15512,255.0.0,197381,1394422,10256485,11581394,16711423,60810,2775,139,0,0,0,2610,Homer
129600,247,914,0.189.0,65794,4090070,7900091,12634086,16773277,44081,25,0,0,0,0,701,Homer
120050,255,4865,0.189.0,65794,1192637,6717510,13350751,15195570,59990,205,0,0,2724,0,0,Homer
107100,255,1609,0.189.0,131331,1786857,8048868,12039381,15725049,58586,4260,0,0,0,0,121,Homer
125836,251,1664,0.107.173,65794,1263359,5005195,15724788,15964257,91641,5816,144,0,0,0,3000,Homer
142457,254,1577,0.189.0,65794,145920,1064041,9215426,15987962,77485,3633,0,0,0,0,321,Homer
56200,256,769,0.189.0,65794,211712,4285847,9412535,13227238,32757,264,0,0,0,0,6056,Homer
90250,255,941,0.189.0,65794,146176,4154259,10202061,14278633,48916,369,0,0,0,0,7215,Homer
85250,243,1471,0.107.173,65794,146176,5663386,13160157,16749908,54671,282,0,0,0,0,64,Homer
141400,246,1734,0.107.173,65794,1263104,5004672,14408416,16749909,91110,4341,0,0,79,0,2032,Homer
137634,246,1774,255.0.0,65794,1197056,3954055,8564696,14738414,99933,651,236,0,0,0,6149,Homer
49344,248,912,255.0.0,65794,146176,196352,7834042,14410224,22952,598,1095,0,0,0,0,Lisa
19000,253,520,255.0.0,131587,212223,523515,7038611,11058395,9341,18,1752,0,0,0,0,Lisa
